name,category,subsidiary of / alias of,stakeholdergroup,nationality,email domain names,Membership Organization,Wiki Page
Apple GmbH,Consumer hardware and software vendor,Apple,Business,Germany,,ETSI,
Bundesamt für Verfassungsschutz,Regulatory Body,,Government,Germany,verfassungsschutz.de,ETSI,
Bundeskriminalamt,,,Government,Germany,,ETSI,
Bundesnetzagentur,Regulatory Body,,Government,Germany,"bundesnetzagentur.de , bnetza.de",,
Central Office for Information Technology in the Security Sector,,,Government,Germany,,ETSI,
CETECOM GmbH - Certification and Testing in Communications,Testing and Certification,RWTÜV Group,Business,Germany,,ETSI,
Comprion GmbH,Software Provider,,Business,Germany,,ETSI,
Continental Automotive GmbH,Hardware Provider,,Business,Germany,,ETSI,
Deutsche Telekom,Telecommunications Provider,,Business,Germany,telekom.de,ETSI,
Deutsches Zentrum für Luft- und Raumfahrt e.V.,Technology research and development company,,Government,Germany,,ETSI,
DOCOMO Communications Laboratories Europe GmbH,Technology research and development company,Nippon Telegraph and Telephone Corporation (NTT),Business,Germany,docomolab-euro.com,,
Ericsson GmbH  Eurolab - Unternehmensbereich Forschung und Entwicklung,Networking equipment vendor,Ericsson,Business,Germany,,ETSI,
European Patent Organisation,,,Intergovernmental Organization,Germany,,ETSI,
Federal Agency for Public Safety Digital Radio,,,Government,Germany,,ATIS,
Federal Ministry of Economic Affairs and Energy,,,Government,Germany,,ETSI,
Fraunhofer Institut für Integrierte Schaltungen IIS,Research Institution,,Academia,Germany,iis.fraunhofer.de,ETSI,
Fraunhofer Institute for Open Communication Systems FOKUS,Research Institution,,Academia,Germany,fokus.fraunhofer.de,ETSI,
Fraunhofer Institute for Telecommunications  Heinrich Hertz Institute,Research Institution,,Academia,Germany,,ETSI,
Friedrich-Alexander-Universität Erlangen-Nürnberg,Research Institution,,Academia,Germany,,ETSI,
genua GmbH,"Software Provider, Consulting",,Business,Germany,genua.de,,
Giesecke+Devrient Mobile Security GmbH,Software Provider,,Business,Germany,,ETSI,
Gigaset Communications GmbH,Consumer hardware and software vendor,,Business,Germany,,ETSI,
Harman Becker Automotive Systems GmbH,Hardware Provider,,Business,Germany,,ETSI,
HARTING Stiftung & Co. KG,Networking Service Provider,,Business,Germany,,ETSI,
HEAD acoustics GmbH,"Hardware Provider, Software Provider, Consumer hardware and software vendor",,Business,Germany,,ETSI,
Hochschule München für Angewandte Wissenschaften,Research Institution,,Academia,Germany,hm.edu,,
HUAWEI TECHNOLOGIES Duesseldorf GmbH,Networking equipment vendor,Huawei Device Co. Ltd,Business,Germany,,ETSI,
IBM Europe,Hardware Provider,IBM,Business,Germany,,ETSI,
Infineon Technologies,Chipmaker,,Business,Germany,infineon.com,ETSI,
Intel Deutschland GmbH,Chipmaker,Intel,Business,Germany,,ETSI,
InterDigital Germany GmbH,Technology research and development company,InterDigital,Business,Germany,,ETSI,
IPCom GmbH & Co.KG,Technology research and development company,,Business,Germany,,ETSI,
John Deere GmbH & Co. KG,Consumer hardware and software vendor,,Business,Germany,,ETSI,
Landeskriminalamt Niedersachsen,,,Government,Germany,polizei.niedersachsen.de,ETSI,
LG Electronics Deutschland GmbH,"Hardware Provider, Consumer hardware and software vendor",LG Electronics Inc.,Business,Germany,lge.com,ETSI,
Mercedes-Benz AG,"Hardware Provider, Consumer hardware and software vendor",,Business,Germany,,ETSI,
Motorola Mobility Germany GmbH,"Software Provider, Hardware Provider, Consumer hardware and software vendor",Motorola,Business,Germany,,ETSI,
Motorola Solutions Germany GmbH,"Software Provider, Hardware Provider, Consumer hardware and software vendor",Motorola,Business,Germany,motorolasolutions.com,ETSI,
Next Generation Mobile Networks Alliance,Association,,Business,Germany,,OTHER,
Nokia Solutions and Networks GmbH & Co. KG,Networking equipment vendor,Nokia Corporation,Business,Germany,,ETSI,
Orope Germany GmbH,,,Business,Germany,,ETSI,
PANASONIC R&D Center Germany GmbH,"Hardware Provider, Consumer hardware and software vendor",Panasonic Corporation,Business,Germany,,ETSI,
Qualcomm CDMA Technologies GmbH,Chipmaker,Qualcomm Incorporated,Business,Germany,,ETSI,
Regulatory Agency For Electronic Communications and Postal Services,Regulatory Body,,Government,Germany,regtp.de,ETSI,
ROBERT BOSCH GmbH,Hardware Provider,,Business,Germany,,ETSI,
ROHDE & SCHWARZ GmbH & Co.KG,"Hardware Provider, Testing and Certification, Cybersecurity",,Business,Germany,"rohde-schwarz.com , rsd.rohde-schwarz.com",ETSI,
Samsung Electronics GmbH,"Software Provider, Hardware Provider, Consumer hardware and software vendor, Technology research and development company",Samsung Electronics Ind. Co.  Ltd.,Business,Germany,,ETSI,
Sapcorda Services GmbH,Networking Service Provider,u-blox AG,Business,Germany,,ETSI,
Sennheiser Electronic GmbH & Co. KG,"Consumer hardware and software vendor, Technology research and development company",,Business,Germany,,ETSI,
Siemens AG,Networking equipment vendor,,Business,Germany,"icn.siemens.de , siemens.de , mch.siemens.de , siemens.at , siemens.com",ETSI,
SIGOS GmbH,Cybersecurity,,Business,Germany,,ETSI,
Südwestrundfunk,Content Distribution Network,,Business ,Germany,,ARIB,
Technische Universit�t Dresden,Research Institution,,Academia,Germany,,,
Tektronix GmbH,Hardware Provider,,Business,Germany,,ETSI,
Telefónica Germany GmbH & Co OHG,Telecommunications Provider,TELEFONICA S.A.,Business,Germany,,,
Telekom Deutschland GmbH,Telecommunications Provider,Deutsche Telekom,Business,Germany,telekom.de,ETSI,
TU Dresden,Research Institution,,Academia,Germany,tu-dresden.de,,
umlaut communications GmbH,"Software Provider, Consulting",,Business,Germany,,ETSI,
UTIMACO TS GmbH,Cybersecurity,,Business,Germany,utimaco.com,ETSI,
Valeo Telematik und Akustik GmbH,Hardware Provider,Valeo,Business,Germany,,ETSI,
Viavi Solutions Deutschland GmbH,Testing and Certification,,Business,Germany,,ETSI,
VIVO TECH GmbH,Consumer hardware and software vendor,vivo Mobile Communication Co.  Ltd,Business,Germany,,ETSI,
Vodafone GmbH,Telecommunications Provider,Vodafone Group Plc,Business,Germany,,ETSI,
Volkswagen AG,Consumer hardware and software vendor,,Business,Germany,,ETSI,
Zentrale Stelle für Informationstechnik im Sicherheitsbereich,Regulatory Body,,Government,Germany,zitis.bund.de,,
Zollkriminalamt (ZKA),,,Government,Germany,,ETSI,
"University of Professional Studies, Accra",Research Institution,,Academia,Ghana,,,
UPSA,Research Institution,,Academia,Ghana,upsa.edu.gh,,
CENTRE FOR RESEARCH AND TECHNOLOGY HELLAS,Research Institution,,Business,Greece,,ETSI,
Ministry of Digital Governance  ,,,Government,Greece,,,
University of Piraeus,Research Institution,,Academia,Greece,,ETSI,
CK Hutchison (CKHH),Telecommunications Provider,,Business,Hong Kong,chrisseal.net,,https://en.wikipedia.org/wiki/CK_Hutchison_Holdings
Hong Kong Applied Science & Technology Research Institute,Research Institution,,Academia,Hong Kong,,ETSI,
Apple Hungary Kft.,Consumer hardware and software vendor,Apple,Business,Hungary,,ETSI,
Ericsson Hungary Ltd,Networking equipment vendor,Ericsson,Business,Hungary,,ETSI,
Nokia Solutions and Networks Kft.,Networking equipment vendor,Nokia Corporation,Business,Hungary,,ETSI,
Special Service for the National Security of Hungary,,,Government,Hungary,,ETSI,
Astrome Technologies Pvt Lt,Networking equipment vendor,,Business ,India,,TSDSI,
Bharat Electronics Limited,Networking equipment vendor,,Business,India,,TSDSI,https://en.wikipedia.org/wiki/Bharat_Electronics
Bharat Sanchar Nigam Limited,Telecommunications Provider,,Business,India,,TSDSI,https://en.wikipedia.org/wiki/Bharat_Sanchar_Nigam_Limited
Bharti Airtel Limited,Telecommunications Provider,,Business,India,,TSDSI,https://en.wikipedia.org/wiki/Bharti_Airtel
Broadband India Forum,,,Technical community,India,,TSDSI,
C-DOT,Telecommunications Provider,,Business,India,,TSDSI,
Cellular Operators Association of India (COAI),Association,,Business,India,,OTHER,
Centre of Excellence in Wireless Technology (CEWiT),Research Institution,,Technical community,India,,TSDSI,
Cisco Systems India,Networking equipment vendor,Cisco,Business,India,,TSDSI,
Consort Digital Private Limited,Networking equipment vendor,,Business,India,,ETSI,
Department of Telecommunications,,,Government,India,,TSDSI,
Dolby Technology India Pvt Ltd,Software Provider,Dolby Inc. ,Business,India,,TSDSI,
Ericsson India Private Limited,Networking equipment vendor,Ericsson,Business,India,,TSDSI,
ERNET India,,,Government,India,eis.ernet.in,TSDSI,
Facebook India Online Services Pvt Ltd,Content Provider,Meta USA,Business,India,,TSDSI,
GANPAT UNIVERSITY,Research Institution,,Academia,India,,TSDSI,
HARMAN Connected Services (HCS),Software Provider,Samsung Electronics Ind. Co.  Ltd.,Business,India,,ETSI,
Huawei Telecommunication (India) Co. Pvt. Ltd.,Networking equipment vendor,Huawei Device Co. Ltd,Business,India,,TSDSI,
IIT  Kharagpur,Research Institution,,Academia,India,,TSDSI,
Indian Institute of Science  Bangalor,Research Institution,,Academia,India,,TSDSI,
Indian Institute of Technology Bhilai,Research Institution,,Academia,India,,TSDSI,
Indian Institute of Technology Bombay,Research Institution,,Academia,India,,TSDSI,
Indian Institute of Technology Delhi,Research Institution,,Academia,India,,TSDSI,
Indian Institute of Technology Hyderabad,Research Institution,,Academia,India,,TSDSI,
Indian Institute of Technology Madras,Research Institution,,Academia,India,,TSDSI,
Indian Institute of Technology Mandi,Research Institution,,Academia,India,,TSDSI,
Indian Space Research Organisation,Research Institution,,Academia,India,,TSDSI,
Indidan Institute of Technology Kanpur,Research Institution,,Academia,India,,TSDSI,
Indraprastha Institute of Information Technology Delhi,Research Institution,,Academia,India,,TSDSI,
Institute for Development and Research in Banking Technology,Research Institution,,Academia,India,,TSDSI,
Intel Technology India Pvt. Ltd.,Chipmaker,Intel,Business,India,,TSDSI,
International Institute of Information Technology  Hyderabad,Research Institution,,Academia,India,,TSDSI,
International Institute of Information Technology - Bangalore,Research Institution,,Academia,India,,TSDSI,
Lekha Wireless Solutions Pvt Ltd,Software Provider,,Business,India,,TSDSI,
Mediatek India Technology Pvt. Ltd.,"Software Provider, Hardware Provider, Consumer hardware and software vendor",MediaTek Incorporated,Business,India,,TSDSI,
Ministry of Communications,,,Government,India,,,
Ministry of Electronics & Information Technology,,,Government,India,,TSDSI,
National Smart Grid Mission,Infrastructure Company,,Government,India,,TSDSI,
NEC Corporation India Private Limited,"Software Provider, Hardware Provider",NEC Corporation,Business,India,,TSDSI,
Niral Networks Private Limited,Software Provider,,Business,India,,TSDSI,
Nokia Solutions and Networks India Pvt. Ltd.,Networking equipment vendor,Nokia Corporation,Business,India,,TSDSI,
Prasar Bharati,Content Distribution Network,,Business,India,,TSDSI,
Qualcomm India Pvt Ltd,Chipmaker,Qualcomm Incorporated,Business,India,,TSDSI,
Reliance Jio,Telecommunications Provider,,Business,India,ril.com,TSDSI,
Saankhya Labs Private Limited,Technology research and development company,,Business,India,,ETSI,
SAMEER - Centre for Electromagnetics,Association,,Business,India,,TSDSI,
Samsung R&D Institute India - Bangalore Pvt. Ltd,Technology research and development,Samsung Electronics Ind. Co.  Ltd.,Business,India,,TSDSI,
Sasken Technologies Limited,"Software Provider, Consulting",,Business,India,sasken.com,ETSI,
Sensorise Digital Services Pvt Ltd,Hardware Provider,,Business,India,,TSDSI,
Signalchip Innovations Pvt. Ltd.,Chipmaker,,Business,India,,TSDSI,
Sooktha Consulting Pvt Ltd,Consulting,,Business,India,,TSDSI,
Sterlite Technologies Ltd,Networking equipment vendor,Vedanta Group,Business ,India,,TSDSI,
TATA Communications Ltd,Consumer hardware and software vendor,Tata Motors Ltd,Business,India,tata.com,TSDSI,
TATA Consultancy Services,Consulting,Tata Motors Ltd,Business,India,tcs.com,,
Tata Motors Ltd,Consumer hardware and software vendor,,Business,India,,TSDSI,
Tech Mahindra Limited,"Networking Service Provider, Consulting",Mahindra Group,Business,India,,TSDSI,
Tejas Networks Ltd.,Networking equipment vendor,,Business,India,,TSDSI,
Telecommunications Consultants India Ltd,Consulting,,Business,India,,TSDSI,
Telecommunications Standards Development Society  India,Regional Standards Body,,Technical Community,India,,TSDSI,
UIET Panjab University Chandigarh,Research Institution,,Academia,India,,TSDSI,
Vodafone Idea Ltd,Telecommunications Provider,Vodafone Group Plc,Business,India,,TSDSI,
Wipro Limited,Consulting,,Business,India,,TSDSI,
IDNIC - APJII,Internet Registry,,Government,Indonesia,idnic.net,,
Ministry of Communication and Information Technology,,,Government,Indonesia,,ETSI,
Moratel International Pte Ltd,Telecommunications Provider,,Business,Indonesia,moratelindo.co.id,,
Marconi,Telecommunications Provider,,Business,,marconi.com,,
Telkom University,Research Institution,,Academia,Indonesia,,ETSI,
Amdocs Software Systems Limited,Software Provider,,Business,Ireland,amdocs.com,ETSI,
College of the Holy and Undivided Trinity of Queen Elizabeth near Dublin,Research Institution,,Academia,Ireland,,ETSI,
DTS Licensing Limited,Consulting,,Business,Ireland,,ETSI,
Ericsson Ireland,Networking equipment vendor,Ericsson,Business,Ireland,,ETSI,
Facebook Inc,Content Provider,Meta USA,Business,Ireland,,ETSI,
GENBAND Ireland Limited,Networking Service Provider,,Business,Ireland,,ETSI,
Intel Ireland Ltd,Chipmaker,Intel,Business,Ireland,,ETSI,
L.M. Ericsson Limited,Networking equipment vendor,Ericsson,Business,Ireland,,ETSI,
Openet Telecom,Software Provider,,Business,Ireland,,ETSI,
QT Technologies Ireland Limited,Software Provider,,Business,Ireland,,ETSI,
Ruckus Wireless Inc.,Networking Service Provider,,Business,Ireland,,ETSI,
ST ENGINEERING IDIRECT (IRELAND) LIMITED,Satellite Communications Provider,,Business ,Ireland,,ETSI,
Vodafone Ireland Plc,Telecommunications Provider,Vodafone Group Plc,Business,Ireland,,ETSI,
Xilinx Ireland,Software Provider,,Business,Ireland,xilinx.com,ETSI,
5G Wireless Intelligent Networks,,,,Israel,,ETSI,
Allot Ltd,Networking equipment vendor,,Business,Israel,,ETSI,https://en.wikipedia.org/wiki/Allot
Cognyte Software Ltd,Software Provider,,Business,Israel,,ETSI,
Elbit Systems C4l and Cyber Ltd,Software Provider,,Business,Israel,,ETSI,
General Motors - ATCI,Technology research and development company,General Motors,Business,Israel,,ETSI,
Gilat Satellite Networks Ltd,Satellite Communications Provider,,Business,Israel,,ETSI,
Qualcomm Israel Ltd.,Chipmaker,Qualcomm Incorporated,Business,Israel,,ETSI,
Saguna Networks Ltd,"Software Provider, Consulting",,Business,Israel,,ETSI,
Softil Ltd,Software Provider,,Business,Israel,,ETSI,
Toga Networks,Technology research and development company,Huawei Device Co. Ltd,Business,Israel,,,
ALMA MATER STUDIORUM Università di Bologna,Research Institution,,Academia,Italy,,ETSI,
Apple Italia S.R.L.,Consumer hardware and software vendor,Apple,Business,Italy,,ETSI,
Consorzio Nazionale Interuniversitario per le Telecomunicazioni CNIT,Association,,Business,Italy,,,
Direzione Centrale Anticrimine della Polizia di Stato,,,Government,Italy,,ETSI,
Empirix Inc.,Testing and Certification,Infovista,Business,Italy,,ETSI,
Ericsson Telecomunicazioni SpA,Networking equipment vendor,Ericsson,Business,Italy,,ETSI,
Fastweb S.p.A.,Telecommunications Provider,,Business,Italy,,ETSI,
Intel Corporation Italia SpA,Chipmaker,Intel,Business,Italy,,ETSI,
KEYSIGHT TECHNOLOGIES ITALY,Networking equipment vendor,Keysight Technologies Ltd,Business,Italy,keysight.com,ETSI,
Leonardo SpA,Cybersecurity,,Business,Italy,,ETSI,
Meetecho,Software Provider,,Business,Italy,meetecho.com,,
Nokia Solutions and Networks Italia SpA,Networking equipment vendor,Nokia Corporation,Business,Italy,,ETSI,
QUALCOMM Europe Inc. - Italy Branch Office,Chipmaker,Qualcomm Incorporated,Business,Italy,,ETSI,
Telecom Italia S.p.A.,Telecommunications Provider,,Business,Italy,"telecomitalia.it , tilab.com",ETSI,
Telit Communications S.p.A.,Software Provider,,Business,Italy,,ETSI,
Vodafone Italia SpA,Telecommunications Provider,Vodafone Group Plc,Business,Italy,,ETSI,
Windtre,Telecommunications Provider,,Business,Italy,mail.wind.it,,
ANRITSU CORPORATION,Networking equipment vendor,ANRITSU LTD,Business,Japan,anritsu.com,ARIB,https://en.wikipedia.org/wiki/Anritsu
Association of Radio Industries and Businesses,Regional Standards Body,,Technical Community,Japan,,ARIB,
Canon Inc. ,Hardware Developer,,Business,Japan,,,https://en.wikipedia.org/wiki/Canon_Inc.
Dai Nippon Printing Co.  Ltd,Consumer hardware and software vendor,,Business,Japan,,ARIB,
DENSO CORPORATION,Hardware Provider,,Business,Japan,,ARIB,
DKK Co.  Ltd.,Networking Equipment Vendor,,Business,Japan,,ARIB,
Ericsson Japan K.K.,Networking equipment vendor,Ericsson,Business,Japan,,ARIB,
FUJITSU CONNECTED TECHNOLOGIES LIMITED,"Hardware Provider, Software Provider, Consumer hardware and software vendor",,Business,Japan,"jp.fujitsu.com, fujitsu.com",ARIB,
Fujitsu Limited,"Hardware Provider, Software Provider, Consumer hardware and software vendor",FUJITSU CONNECTED TECHNOLOGIES LIMITED,Business,Japan,,TTC,
Fujitsu Limited,"Hardware Provider, Software Provider, Consumer hardware and software vendor",FUJITSU CONNECTED TECHNOLOGIES LIMITED,Business,Japan,,ARIB,
Fujitsu Limited,"Hardware Provider, Software Provider, Consumer hardware and software vendor",FUJITSU CONNECTED TECHNOLOGIES LIMITED,Business,Japan,,ETSI,
Hitachi Ltd.,"Software Provider, Hardware Provider, Consumer hardware and software vendor",,Business,Japan,"hitachi.com, hitachi.cn",,
HUAWEI Technologies Japan K.K.,Networking equipment vendor,Huawei Device Co. Ltd,Business,Japan,,ARIB,
Huawei Technologies Japan K.K.,Networking equipment vendor,Huawei Device Co. Ltd,Business,Japan,,TTC,
Intel K.K.,Chipmaker,Intel,Business,Japan,,ARIB,
Internet Initiative Japan Inc.,Telecommunications Provider,,Business,Japan,iij.ad.jp,,
ITOCHU Techno-Solutions Corporation,Software Provider,,Business,Japan,,TTC,
Japan Advanced Institute of Science and Technology,Research Institution,,Academia,Japan,,,
Japan Radio Co.  Ltd,Networking equipment vendor,,Business,Japan,,ARIB,
JPRS,Internet Registry,,Business,Japan,jprs.co.jp,,
KDDI Corporation,Telecommunications Provider,,Business,Japan,kddi.com,TTC,
KDDI Corporation ,Telecommunications Provider,,Business,Japan,"kddi.com, kddilabs.jp",ARIB,
Keio University,Research Institution,,Academia,Japan,keio.ac.jp,,
Kyocera Corporation,,,Business,Japan,,ARIB,
Mitsubishi Electric Co.,"Hardware Provider, Consumer hardware and software vendor",,Business,Japan,,ARIB,
Mitsubishi Electric Corporation,"Hardware Provider, Consumer hardware and software vendor",Mitsubishi Electric Co.,Business,Japan,,TTC,
Murata Manufacturing Co Ltd.,Hardware Producer,,Business,Japan,,ARIB,
National Institute of Information and Communications Technology,Research Institution,,Academia,Japan,nict.go.jp,ARIB,
NEC Corporation,"Software Provider, Hardware Provider",,Business,Japan,"3g.nec.com.au , neclab.eu, nec.de",ETSI,
NEC Corporation,"Software Provider, Hardware Provider",NEC Corporation,Business,Japan,,ARIB,
NEC Corporation,"Software Provider, Hardware Provider",NEC Corporation,Business,Japan,,TTC,
NHK (Japan Broadcasting Corporation),Content Provider,,Business,Japan,,ARIB,
Nippon Telegraph and Telephone Corporation,Telecommunications Provider,Nippon Telegraph and Telephone Corporation (NTT),Business,Japan,,ETSI,
Nippon Telegraph and Telephone Corporation,Telecommunications Provider,Nippon Telegraph and Telephone Corporation (NTT),Business,Japan,,TTC,
Nippon Telegraph and Telephone Corporation (NTT),Telecommunications Provider,,Business,Japan,"lab.ntt.co.jp , ntt.com",TTC,
Nokia Japan,Networking equipment vendor,Nokia Corporation,Business,Japan,,ARIB,
NTT Advanced Technology,Telecommunications Provider,Nippon Telegraph and Telephone Corporation (NTT),Business,Japan,ntt-at.com,ETSI,
NTT Communications,Telecommunications Provider,Nippon Telegraph and Telephone Corporation (NTT),Business,Japan,nttv6.net,,
NTT DOCOMO INC.,Telecommunications Provider,Nippon Telegraph and Telephone Corporation (NTT),Business,Japan,"nttdocomo.co.jp , nttdocomo.com",ARIB,
NTT DOCOMO INC.,Telecommunications Provider,Nippon Telegraph and Telephone Corporation (NTT),Business,Japan,"nttdocomo.co.jp , nttdocomo.com",TTC,
OKi Electric Industry Co.  Ltd,Networking Service Provider,,Business,Japan,,TTC,
Oki Electric Industry Company Ltd.,"Chipmaker, Consumer hardware ans software vendor, Networking equipment vendor",,Business,Japan,,,
Panasonic Corporation,"Hardware Provider, Consumer hardware and software vendor",,Business,Japan,"jp.panasonic.com, sg.panasonic.com",ARIB,
QUALCOMM JAPAN LLC.,Chipmaker,Qualcomm Incorporated,Business,Japan,,ARIB,
Rakuten Mobile  Inc,Networking Service Provider,,Business,Japan,rakuten.com,ARIB,
SAMSUNG R&D INSTITUTE JAPAN,Technology research and development,Samsung Electronics Ind. Co.  Ltd.,Business,Japan,,ARIB,
SECOM,Cybersecurity,,Business,Japan,,,
SECOM Intelligent Systems Laboratory,Cybersecurity,SECOM,Business,Japan,,,
SHARP Corporation,Hardware Provider,,Business,Japan,,ARIB,
SoftBank Corp.,Financial Institution,,Business,Japan,,ARIB,
Sony Corporation,"Hardware Provider, Consumer hardware and software vendor, Technology research and development company",,Business,Japan,"sony.com, sony.co.jp",ARIB,
Sony Group Corporation,"Hardware Provider, Consumer hardware and software vendor, Technology research and development company",Sony Corporation,Business,Japan,,ARIB,
Sumitomo Electric Industries  Ltd.,Networking equipment vendor,,Business ,Japan,,TTA,
The Telecommunication Technology Committee,Regional Standards Body,,Technical Community,Japan,,TTC,
The University of Tokyo,Research Institution,,Academia,Japan,nc.u-tokyo.ac.jp,ETSI,
TOYOTA MOTOR CORPORATION,"Hardware Provider, Consumer hardware and software vendor",,Business,Japan,,TTC,
"TwoFive, Inc.",Software Provider,,Business,Japan,twofive25.com,,
WIDE project,Research Institution,,Academia,Japan,"wide.ad.jp , sfc.wide.ad.jp",,
DanKook University,Research Institution,,Academia,Korea,,TTA,
Electronics & Telecommunications Research Institute (ETRI),Research Institution,,Academia,Korea,etri.re.kr,TTA,
Ericsson-LG Co.  LTD,Networking equipment vendor,Ericsson,Business,Korea,,TTA,
Hansung University,Research Institution,,Academia,Korea,,TTA,
Huawei Technologies (Korea),Networking equipment vendor,Huawei Device Co. Ltd,Business,Korea,,TTA,
Hyundai Motors,"Hardware Provider, Software Provider",,Business,Korea,,TTA,
Innovative Technology Lab Co.  Ltd,Research Institution,,Business,Korea,,TTA,
Intel Korea Ltd.,Chipmaker,Intel,Business,Korea,,TTA,
Korea Advanced Institute of Science and Technology (KAIST),Research Institution,,Academia,Korea,kaist.ac.kr,,
Korea Internet & Security Agency,,,Government,Korea,kisa.or.kr,,
Korea Railroad Research Institute,Research Institution,,Academia,Korea,,TTA,
Korea Testing Laboratory,Testing and Certification,,Business,Korea,,TTA,
Korean Intellectual Property Office,,,Government,Korea,,TTA,
Korean Register,,,Government,Korea,,TTA,
KT Corporation,Networking Service Provider,,Business,Korea,,TTA,
KT SAT,,KT Corporation,Business,Korea,,TTA,
Kyonggi University,Research Institution,,Academia,Korea,,TTA,
Kyungpook National University,Research Institution,,Academia,Korea,,,
LG Electronics Inc.,"Hardware Provider, Consumer hardware and software vendor",,Business,Korea,,TTA,
LG Uplus,"Hardware Provider, Consumer hardware and software vendor",LG Electronics Inc.,Business,Korea,,TTA,
MediaTek Korea Inc.,"Software Provider, Hardware Provider, Consumer hardware and software vendor",MediaTek Incorporated,Business,Korea,,TTA,
Mobile Technology Convergence Center,,,Government,Korea,,TTA,
Nokia Korea,Networking equipment vendor,Nokia Corporation,Business,Korea,,TTA,
Qualcomm Korea,Chipmaker,Qualcomm Incorporated,Business,Korea,,TTA,
Samsung Electronics Ind. Co.  Ltd.,"Software Provider, Hardware Provider, Consumer hardware and software vendor, Technology research and development company",,Business,Korea,samsung.com,TTA,
SK TELECOM,Telecommunications Provider,,Business,Korea,sk.com,TTA,
SSU,Research Institution,,Academia,Korea,ssu.ac.kr,,
SUNGKYUNKWAN UNIVERSITY,Research Institution,,Academia,Korea,skku.edu,ETSI,
SyncTechno Inc.,Technology research and development company,,Business,Korea,,TTA,
Telecommunications Technology Association (TTA),Regional Standards Body,,Technical Community,Korea,,TTA,
Uangel Corporation,Networking Service Provider,,Business,Korea,,TTA,
WILUS Inc.,Technology research and development company,,Business,Korea,,TTA,
Yonsei University,Research Institution,,Academia,Korea,,TTA,
Conversant Wireless Licensing SARL,,,,Luxembourg,,ETSI,
EAST SA,Financial Institution,,Business,Luxembourg,,ETSI,
Interdisciplinary Centre for Security  Reliability and Trust/University of Luxembourg,Research Institution,,Academia,Luxembourg,,ETSI,
OQ TECHNOLOGY,Satellite Communications Provider,,Business ,Luxembourg,,ETSI,
POST Luxembourg,,,Government,Luxembourg,,ETSI,
SES S.A.,Satellite Communications Provider,,Business,Luxembourg,,ETSI,
Sisvel International S.A.,Technology research and development,,Business,Luxembourg,,ETSI,
MISA,Research Institution,,Academia,Madagascar,misa-madagascar.com,,
cyberstorm.mu,Hackerspace,,Civil Society,Mauritius,cyberstorm.mu,,
Altan Redes S.A.P.I. de C.V.,Telecommunications Provider,,Business,Mexico,,ETSI,
Apple Benelux B.V.,Consumer hardware and software vendor,Apple,Business,Netherlands,,ETSI,
ESA - European Space Agency,,,Intergovernmental Organization,Netherlands,,ETSI,
EVE Compliancy Solutions,Software Provider,,Business,Netherlands,,ETSI,
Koninklijke KPN N.V.,Telecommunications Provider,,Business,Netherlands,kpn.com,ETSI,
Ministry of Economic Affairs and Climate Policy,,,Government,Netherlands,,ETSI,
Nederlands Forensich Instituut,Research Institution,,Government,Netherlands,holmes.nl,,
Netherlands Police  Division MDC,,,Government,Netherlands,,ETSI,
NLnet Labs,Research Institution,,Civil Society,Netherlands,nlnetlabs.nl,,
NXP Semiconductors Netherlands B.V.,Chipmaker,,Business,Netherlands,,ETSI,
one2many B.V.,Content Distribution Network,,Business,Netherlands,,ETSI,
Philips International B.V.,Hardware Provider,,Business,Netherlands,philips.com,ETSI,
PIDS,Research Institution,,Academia,Netherlands,,ETSI,
Qualcomm Technologies Netherlands B.V.,Chipmaker,Qualcomm Incorporated,Business,Netherlands,,ETSI,
Samsung Electronics Benelux BV,"Software Provider, Hardware Provider, Consumer hardware and software vendor, Technology research and development company",Samsung Electronics Ind. Co.  Ltd.,Business,Netherlands,,ETSI,
SIDN,Internet Registry,,Civil Society,Netherlands,sidn.nl,,
TNO,Research Institution,,Business,Netherlands,tno.nl,ETSI,
Spark NZ Ltd,Telecommunications Provider,,Business ,New Zealand,,ATIS,
Nigerian Communications Commission (NCC)  ,,,Government,Nigeria,,,
Ceragon Networks AS,Networking equipment vendor,,Business,Norway,,ETSI,
Nordic Semiconductor ASA,Chipmaker,,Business,Norway,nordicsemi.no,ETSI,
Norwegian Communications Authority,,,Goverment,Norway,,ETSI,
Politiet Norge,Law Enforcement Agency,,Government,Norway,politiet.no,,
Telenor ASA,Telecommunications Provider,,Business,Norway,,ETSI,
University of Oslo,Research Institution,,Academia,Norway,ifi.uio.no,,
Vipps AS,Consumer hardware and software vendor,,Business,Norway,,ETSI,
Apple Poland Sp. z.o.o.,Consumer hardware and software vendor,Apple,Business,Poland,,ETSI,
Intel Technology Poland SP Zoo,Chipmaker,Intel,Business,Poland,,ETSI,
LG Electronics Polska Sp. z.o.o.,"Hardware Provider, Consumer hardware and software vendor",LG Electronics Inc.,Business,Poland,,ETSI,
Motorola Solutions Systems Polska s.p. z.o.o.,"Software Provider, Hardware Provider, Consumer hardware and software vendor",Motorola,Business,Poland,motorolasolutions.com,ETSI,
Nokia Solutions and Networks Sp. z.o.o.,Networking equipment vendor,Nokia Corporation,Business,Poland,,ETSI,
Samsung Electronics Polska,"Software Provider, Hardware Provider, Consumer hardware and software vendor, Technology research and development company",Samsung Electronics Ind. Co.  Ltd.,Business,Poland,,ETSI,
